City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.1203,-134.9692,25.99000000000001,76,100,5.29,PF,1678017589
1,kyra,49.5776,111.9753,-1.4899999999999523,81,90,3.2,RU,1678017460
2,tirumullaivasal,11.2333,79.8333,27.180000000000007,65,100,4.81,IN,1678017589
3,namatanai,-3.6667,152.4333,26.28000000000003,79,100,3.58,PG,1678017590
4,richards bay,-28.783,32.0377,27.840000000000032,65,83,4.9,ZA,1678017590
5,bluff,-46.6,168.3333,9.960000000000036,74,1,4.85,NZ,1678017590
6,butaritari,3.0707,172.7902,26.910000000000025,78,79,2.22,KI,1678017590
7,qaanaaq,77.484,-69.3632,-8.129999999999995,51,83,4.12,GL,1678017590
8,jamestown,42.097,-79.2353,2.6200000000000045,96,100,4.12,US,1678017590
9,rexburg,43.826,-111.7897,-4.009999999999991,82,100,5.66,US,1678017590
10,port elizabeth,-33.918,25.5701,26.170000000000016,84,100,3.6,ZA,1678017571
11,gat,31.61,34.7642,34.32000000000005,17,77,6.3,IL,1678017543
12,cape town,-33.9258,18.4232,22.710000000000036,77,75,7.72,ZA,1678017272
13,ushuaia,-54.8,-68.3,1.8100000000000023,87,0,1.54,AR,1678017451
14,busselton,-33.65,115.3333,16.910000000000025,72,0,7.2,AU,1678017591
15,nantucket,41.2835,-70.0995,0.08000000000004093,87,83,5.83,US,1678017591
16,tasiilaq,65.6145,-37.6368,-7.899999999999977,87,66,4.0,GL,1678017591
17,aktau,43.65,51.2,10.32000000000005,63,99,1.99,KZ,1678017535
18,lavrentiya,65.5833,-171.0,-2.019999999999982,97,100,11.01,RU,1678017591
19,port macquarie,-31.4333,152.9167,22.160000000000025,82,2,5.55,AU,1678017592
20,galle,6.0367,80.217,27.49000000000001,77,90,6.01,LK,1678017592
21,warri,5.5167,5.75,32.75,57,92,1.59,NG,1678017592
22,hasaki,35.7333,140.8333,9.220000000000027,64,100,5.14,JP,1678017592
23,fare,-16.7,-151.0167,27.890000000000043,75,74,6.26,PF,1678017592
24,chapais,49.7834,-74.8492,-16.120000000000005,98,98,1.25,CA,1678017593
25,margate,51.3813,1.3862,5.5,69,100,2.24,GB,1678016945
26,hashtrud,37.4779,47.0508,12.680000000000007,34,45,11.66,IR,1678017593
27,saint george,37.1041,-113.5841,3.57000000000005,66,0,1.79,US,1678017593
28,chicama,-7.8447,-79.1469,21.30000000000001,77,100,1.17,PE,1678017593
29,edd,13.9297,41.6925,34.59000000000003,29,6,10.73,ER,1678017594
30,san diego,32.7153,-117.1573,11.29000000000002,75,100,1.34,US,1678017594
31,laguna,38.421,-121.4238,6.160000000000025,89,100,6.69,US,1678017594
32,prado,-17.3411,-39.2208,26.180000000000007,78,54,1.06,BR,1678017594
33,punta arenas,-53.15,-70.9167,6.060000000000002,93,100,5.66,CL,1678017594
34,puerto ayora,-0.7393,-90.3518,23.640000000000043,91,38,1.51,EC,1678017594
35,ribeira grande,38.5167,-28.7,15.990000000000009,63,20,9.77,PT,1678017594
36,hermanus,-34.4187,19.2345,19.33000000000004,77,100,5.97,ZA,1678016793
37,airai,-8.9266,125.4092,15.200000000000045,93,90,1.08,TL,1678017595
38,bud,39.447,-86.1758,4.520000000000039,95,9,2.24,US,1678017595
39,katsuura,35.1333,140.3,10.680000000000007,83,100,4.55,JP,1678017595
40,castro,-24.7911,-50.0119,20.470000000000027,89,21,3.5,BR,1678017595
41,tshikapa,-6.4167,20.8,33.460000000000036,48,98,0.56,CD,1678017595
42,san juan,-31.5375,-68.5364,27.110000000000014,26,0,0.37,AR,1678017359
43,milkovo,54.7167,158.6167,-22.019999999999982,88,19,1.39,RU,1678017595
44,khatanga,71.9667,102.5,-27.649999999999977,99,100,2.85,RU,1678017596
45,fatezh,52.0891,35.8632,2.2100000000000364,85,100,8.81,RU,1678017494
46,asau,46.4333,26.4,4.600000000000023,55,98,0.66,RO,1678017596
47,waipawa,-41.4122,175.5153,11.240000000000009,82,100,3.51,NZ,1678017596
48,luderitz,-26.6481,15.1594,21.5,61,24,6.59,NA,1678017596
49,portland,45.5234,-122.6762,2.0200000000000387,94,75,3.6,US,1678017596
50,hualmay,-11.0964,-77.6139,22.660000000000025,82,100,2.42,PE,1678017596
51,muros,42.7762,-9.0603,11.160000000000025,86,96,2.7,ES,1678017592
52,pisco,-13.7,-76.2167,22.03000000000003,73,100,1.03,PE,1678017597
53,rivers,50.0308,-100.2403,-13.46999999999997,99,53,2.2,CA,1678017597
54,kapaa,22.0752,-159.319,22.180000000000007,90,100,1.54,US,1678017597
55,owase,34.0667,136.2,9.550000000000011,77,80,2.0,JP,1678017597
56,joinville,-26.3044,-48.8456,24.950000000000045,88,75,0.0,BR,1678017597
57,plettenberg bay,-34.0527,23.3716,21.310000000000002,92,76,0.63,ZA,1678017597
58,komsomolskiy,40.4272,71.7189,17.400000000000034,39,74,2.06,UZ,1678017597
59,mangrol,21.1167,70.1167,28.840000000000032,49,8,5.54,IN,1678017598
60,hermosillo,29.0667,-110.9667,14.360000000000014,33,6,1.82,MX,1678017323
61,atuona,-9.8,-139.0333,26.450000000000045,81,27,5.83,PF,1678017598
62,vaini,-21.2,-175.2,26.090000000000032,89,100,6.17,TO,1678017598
63,port alfred,-33.5906,26.891,29.100000000000023,67,37,8.79,ZA,1678017598
64,kruisfontein,-34.0033,24.7314,24.939999999999998,84,99,3.86,ZA,1678017004
65,lexington,37.9887,-84.4777,2.730000000000018,79,1,1.28,US,1678017598
66,yellowknife,62.456,-114.3525,-29.70999999999998,76,20,3.6,CA,1678017598
67,saskylakh,71.9167,114.0833,-26.799999999999983,100,98,3.04,RU,1678017598
68,morant bay,17.8815,-76.4093,24.79000000000002,75,15,4.0,JM,1678017599
69,hithadhoo,-0.6,73.0833,28.02000000000004,73,13,3.14,MV,1678017599
70,hofn,64.2539,-15.2082,0.8700000000000045,61,100,7.24,IS,1678017599
71,clarksburg,39.2807,-80.3445,4.610000000000014,95,1,2.07,US,1678017599
72,mataura,-46.1927,168.8643,5.050000000000011,96,4,1.19,NZ,1678017599
73,carlsbad,33.1581,-117.3506,11.020000000000039,79,100,1.34,US,1678017599
74,jieshi,22.8134,115.8257,18.05000000000001,57,0,7.31,CN,1678017599
75,mugur-aksy,50.35,90.5,-11.689999999999998,62,54,2.99,RU,1678017600
76,thompson,55.7435,-97.8558,-23.659999999999968,98,79,2.54,CA,1678017601
77,bredasdorp,-34.5322,20.0403,19.32000000000005,83,100,5.56,ZA,1678017601
78,clyde river,70.4692,-68.5914,-19.849999999999966,96,94,0.94,CA,1678017601
79,machali,-34.1833,-70.6667,23.75,21,0,0.35,CL,1678017602
80,naryan-mar,67.6713,53.087,-10.379999999999995,96,100,2.29,RU,1678017602
81,wanning,18.8003,110.3967,19.340000000000032,79,16,3.74,CN,1678017603
